,Company_(Maker-if known),Specific Bean Origin_or Bar Name,REF,Review_Date,Cocoa_Percent,Company_Location,Rating,Broad Bean_Origin,Company_Location_Count,Location Rarity Classification,Cocoa Amount Group,Country
232,Bonnat,Equateur,123,2007,0.75,France,2.5,Ecuador,144,somewhat common,Average Amount,France
233,Bonnat,Trinite,24,2006,0.75,France,3.75,Carribean,144,somewhat common,Average Amount,France
234,Bonnat,"Ocumare, Puerto Cabello",32,2006,0.75,France,4.0,Venezuela,144,somewhat common,Average Amount,France
235,Bonnat,"Maracaibo, El Rosario",48,2006,0.75,France,4.0,Venezuela,144,somewhat common,Average Amount,France
236,Bonnat,Madagascar,75,2006,0.75,France,4.0,Madagascar,144,somewhat common,Average Amount,France
237,Bonnat,Ceylan,81,2006,0.75,France,3.0,Sri Lanka,144,somewhat common,Average Amount,France
238,Bonnat,Chuao,81,2006,0.75,France,4.0,Venezuela,144,somewhat common,Average Amount,France
239,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316,2009,0.77,Ecuador,3.25,Ecuador,54,rare,Average Amount,Ecuador
240,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341,2009,1.0,Ecuador,1.5,Ecuador,54,rare,High Amount,Ecuador
241,Bowler Man,Maya Mountain,1267,2014,0.7,U.S.A.,2.75,Belize,738,most common,Average Amount,United States of America
242,Bowler Man,Conacado,1271,2014,0.7,U.S.A.,2.75,Dominican Republic,738,most common,Average Amount,United States of America
243,Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868,2016,0.7,U.S.A.,3.5,Venezuela,738,most common,Average Amount,United States of America
244,Brasstown aka It's Chocolate,"O'payo, Waslala",1868,2016,0.7,U.S.A.,3.75,Nicaragua,738,most common,Average Amount,United States of America
245,Brasstown aka It's Chocolate,Conacado,1462,2015,0.68,U.S.A.,3.75,Dominican Republic,738,most common,Average Amount,United States of America
246,Brasstown aka It's Chocolate,Maya Mountain,1255,2014,0.7,U.S.A.,3.75,Belize,738,most common,Average Amount,United States of America
247,Brasstown aka It's Chocolate,Chuao,1355,2014,0.7,U.S.A.,4.0,Venezuela,738,most common,Average Amount,United States of America
248,Brasstown aka It's Chocolate,Cooproagro,1125,2013,0.72,U.S.A.,3.0,Dominican Republic,738,most common,Average Amount,United States of America
249,Brasstown aka It's Chocolate,"Camino Verde, Guayas",1125,2013,0.7,U.S.A.,3.25,Ecuador,738,most common,Average Amount,United States of America
250,Brasstown aka It's Chocolate,Ghana,1129,2013,0.75,U.S.A.,3.5,Ghana,738,most common,Average Amount,United States of America
251,Brasstown aka It's Chocolate,"Chuao, Mantuano blend",1129,2013,0.85,U.S.A.,3.5,Venezuela,738,most common,High Amount,United States of America
252,Brazen,Elvesia P.,1514,2015,0.6,U.S.A.,3.0,Dominican Republic,738,most common,Light Amount,United States of America
253,Brazen,Elvesia P.,1514,2015,0.8,U.S.A.,3.25,Dominican Republic,738,most common,High Amount,United States of America
254,Brazen,"Alta Verapaz, 2014",1514,2015,0.7,U.S.A.,3.5,Guatemala,738,most common,Average Amount,United States of America
255,Brazen,Ambolikapiky P.,1518,2015,0.8,U.S.A.,2.75,Madagascar,738,most common,High Amount,United States of America
256,Brazen,Maya Mountain,1518,2015,0.8,U.S.A.,3.25,Belize,738,most common,High Amount,United States of America
257,Brazen,Ambolikapkly P.,1518,2015,0.6,U.S.A.,3.25,Madagascar,738,most common,Light Amount,United States of America
258,Breeze Mill,Jamaica,1149,2013,0.7,U.S.A.,3.0,Jamaica,738,most common,Average Amount,United States of America
259,Bright,Somia Plantation,1231,2014,0.72,Australia,3.0,Madagascar,46,rare,Average Amount,Australia
260,Bright,Marabel Farms,1231,2014,0.7,Australia,3.5,Dominican Republic,46,rare,Average Amount,Australia
261,Bright,"Camino Verde, Balao, Guayas",1231,2014,0.72,Australia,3.5,Ecuador,46,rare,Average Amount,Australia
262,Bright,Gran Couva,1235,2014,0.68,Australia,2.75,Trinidad,46,rare,Average Amount,Australia
263,Britarev,Ecuador,1638,2015,0.7,Russia,3.25,Ecuador,1,extra rare,Average Amount,Russia
264,Bronx Grrl Chocolate,Dominican Republic,1181,2013,0.68,U.S.A.,2.75,Dominican Republic,738,most common,Average Amount,United States of America
265,Burnt Fork Bend,Trinidad,1299,2014,0.72,U.S.A.,3.25,Trinidad,738,most common,Average Amount,United States of America
266,Burnt Fork Bend,Mindo,1299,2014,0.72,U.S.A.,3.5,Ecuador,738,most common,Average Amount,United States of America
267,Burnt Fork Bend,Belize,1303,2014,0.72,U.S.A.,3.25,Belize,738,most common,Average Amount,United States of America
268,Burnt Fork Bend,"Ecuador, Bob Bar",1323,2014,0.6,U.S.A.,2.5,Ecuador,738,most common,Light Amount,United States of America
269,Cacao Arabuco,Puerto Rico,1606,2015,0.7,Puerto Rico,2.5,Puerto Rico,4,extra rare,Average Amount,Puerto Rico
270,Cacao Atlanta,Tumbes,1215,2014,0.75,U.S.A.,2.5,Peru,738,most common,Average Amount,United States of America
271,Cacao Atlanta,"Dominican Republic, ""Love Bar""",502,2010,0.75,U.S.A.,2.5,Dominican Republic,738,most common,Average Amount,United States of America
272,Cacao Atlanta,Dominican Republic w/ nibs,502,2010,0.75,U.S.A.,2.75,Dominican Republic,738,most common,Average Amount,United States of America
273,Cacao Atlanta,Patanemo,600,2010,0.75,U.S.A.,2.25,Venezuela,738,most common,Average Amount,United States of America
274,Cacao Barry,Grand 'Anse,1716,2016,0.65,France,3.5,Haiti,144,somewhat common,Average Amount,France
275,Cacao Barry,Santo Domingo,586,2010,0.7,France,3.0,Dominican Republic,144,somewhat common,Average Amount,France
276,Cacao Barry,Tanzania,300,2008,0.75,France,2.0,Tanzania,144,somewhat common,Average Amount,France
277,Cacao Barry,Venezuela,141,2007,0.72,France,2.0,Venezuela,144,somewhat common,Average Amount,France
278,Cacao Barry,Mexico,147,2007,0.66,France,3.0,Mexico,144,somewhat common,Average Amount,France
279,Cacao de Origen,Chuao,1688,2015,0.77,Venezuela,3.5,Venezuela,20,extra rare,Average Amount,Venezuela
280,Cacao de Origen,Rio Caribe,1692,2015,0.75,Venezuela,3.25,Venezuela,20,extra rare,Average Amount,Venezuela
281,Cacao de Origen,Agua Fria; Sucre region,1391,2014,0.75,Venezuela,2.5,Venezuela,20,extra rare,Average Amount,Venezuela
282,Cacao de Origen,Macuare; Miranda; Chloe formula,1391,2014,0.74,Venezuela,3.25,Venezuela,20,extra rare,Average Amount,Venezuela
283,Cacao de Origen,"Chuao, Aragua region",1391,2014,0.75,Venezuela,3.5,Venezuela,20,extra rare,Average Amount,Venezuela
284,Cacao de Origen,"Chuao, Aragua region",1395,2014,0.7,Venezuela,3.75,Venezuela,20,extra rare,Average Amount,Venezuela
285,Cacao de Origin,Hacienda la Trinidad,1668,2015,0.74,Venezuela,3.25,Venezuela,20,extra rare,Average Amount,Venezuela
286,Cacao Hunters,Macondo,1816,2016,0.71,Colombia,3.75,Colombia,23,extra rare,Average Amount,Colombia
287,Cacao Hunters,Perla Negra,1816,2016,0.74,Colombia,3.75,Colombia,23,extra rare,Average Amount,Colombia
288,Cacao Hunters,Arhuacos,1662,2015,0.72,Colombia,3.75,Colombia,23,extra rare,Average Amount,Colombia
289,Cacao Hunters,Sierra Nevada,1430,2014,0.64,Colombia,3.5,Colombia,23,extra rare,Light Amount,Colombia
290,Cacao Hunters,Tumaco,1430,2014,0.7,Colombia,3.5,Colombia,23,extra rare,Average Amount,Colombia
291,Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna",1434,2014,0.69,Colombia,2.75,Colombia,23,extra rare,Average Amount,Colombia
292,Cacao Hunters,Arauca,1434,2014,0.7,Colombia,3.25,Colombia,23,extra rare,Average Amount,Colombia
293,Cacao Market,"Jutiapa, lot 050916D",1860,2016,0.7,U.S.A.,3.5,Honduras,738,most common,Average Amount,United States of America
294,Cacao Prieto,"Criollo, Dominican Republic",991,2012,0.72,U.S.A.,3.75,Dominican Republic,738,most common,Average Amount,United States of America
295,Cacao Prieto,"Dominican Republicm, rustic",641,2011,0.72,U.S.A.,3.0,Dominican Republic,738,most common,Average Amount,United States of America
296,Cacao Prieto,Dominican Republic,641,2011,0.66,U.S.A.,3.75,Dominican Republic,738,most common,Average Amount,United States of America
297,Cacao Prieto,"Dominican Republic, rustic",647,2011,0.65,U.S.A.,3.25,Dominican Republic,738,most common,Average Amount,United States of America
298,Cacao Sampaka,"Mahali, Kasai",1908,2016,0.7,Spain,3.5,Congo,21,extra rare,Average Amount,Spain
299,Cacao Sampaka,Madagascar,508,2010,0.71,Spain,3.5,Madagascar,21,extra rare,Average Amount,Spain
300,Cacao Sampaka,Ecuador,523,2010,0.71,Spain,3.75,Ecuador,21,extra rare,Average Amount,Spain
301,Cacao Sampaka,Papua,523,2010,0.71,Spain,4.0,Papua New Guinea,21,extra rare,Average Amount,Spain
302,Cacao Sampaka,Grenada,537,2010,0.71,Spain,3.25,Grenada,21,extra rare,Average Amount,Spain
303,Cacao Sampaka,Venezuela,537,2010,0.71,Spain,3.5,Venezuela,21,extra rare,Average Amount,Spain
304,Cacao Sampaka,Venezuela,537,2010,0.77,Spain,3.5,Venezuela,21,extra rare,Average Amount,Spain
305,Cacao Sampaka,"Porcelana, Tabasco, La Joya",336,2009,0.7,Spain,4.0,Mexico,21,extra rare,Average Amount,Spain
306,Cacao Sampaka,"Xoconusco, Chiapas",346,2009,0.7,Spain,4.0,Mexico,21,extra rare,Average Amount,Spain
307,Cacao Store,Madagascar,1684,2015,0.7,Japan,3.0,Madagascar,17,extra rare,Average Amount,Japan
308,Cacao Store,Peru,1684,2015,0.7,Japan,3.25,Peru,17,extra rare,Average Amount,Japan
309,Cacao Store,Vietnam,1684,2015,0.7,Japan,3.5,Vietnam,17,extra rare,Average Amount,Japan
310,Cacaosuyo (Theobroma Inversiones),Piura,1173,2013,0.7,Peru,3.25,Peru,17,extra rare,Average Amount,Peru
311,Cacaoyere (Ecuatoriana),Amazonia,237,2008,0.63,Ecuador,3.5,Ecuador,54,rare,Light Amount,Ecuador
312,Cacaoyere (Ecuatoriana),Esmeraldas,237,2008,0.71,Ecuador,3.5,Ecuador,54,rare,Average Amount,Ecuador
313,Cacaoyere (Ecuatoriana),Bolivar,245,2008,0.82,Ecuador,2.5,Ecuador,54,rare,High Amount,Ecuador
314,Cacaoyere (Ecuatoriana),Pichincha,259,2008,0.91,Ecuador,1.5,Ecuador,54,rare,High Amount,Ecuador
315,Callebaut,Grenade,296,2008,0.6,Belgium,2.75,Grenada,37,rare,Light Amount,Belgium
316,Callebaut,Baking,141,2007,0.7,Belgium,1.0,Ecuador,37,rare,Average Amount,Belgium
317,C-Amaro,Cuba,1442,2014,0.75,Italy,2.5,Cuba,54,rare,Average Amount,Italy
318,C-Amaro,Dominican Republic,1442,2014,0.72,Italy,3.0,Dominican Republic,54,rare,Average Amount,Italy
319,C-Amaro,Ecuador,1185,2013,1.0,Italy,3.5,Ecuador,54,rare,High Amount,Italy
320,C-Amaro,Venezuela,809,2012,0.8,Italy,3.0,Venezuela,54,rare,High Amount,Italy
321,C-Amaro,Sao Tome,749,2011,0.78,Italy,2.25,Sao Tome,54,rare,Average Amount,Italy
322,C-Amaro,Trinidad,765,2011,0.7,Italy,2.5,Trinidad,54,rare,Average Amount,Italy
323,Cao,Porcelana,1804,2016,0.75,U.S.A.,2.5,Venezuela,738,most common,Average Amount,United States of America
324,Cao,Tanzania,1804,2016,0.73,U.S.A.,2.75,Tanzania,738,most common,Average Amount,United States of America
325,Cao,"Porcelana, Batch 5163",1804,2016,0.7,U.S.A.,3.0,Venezuela,738,most common,Average Amount,United States of America
326,Cao,Bolivia,1808,2016,0.75,U.S.A.,3.0,Bolivia,738,most common,Average Amount,United States of America
327,Cao,Brazil,1808,2016,0.7,U.S.A.,3.25,Brazil,738,most common,Average Amount,United States of America
328,Caoni (Tulicorp),Esmeraldas,237,2008,0.77,Ecuador,2.0,Ecuador,54,rare,Average Amount,Ecuador
329,Caoni (Tulicorp),Manabi,237,2008,0.77,Ecuador,2.5,Ecuador,54,rare,Average Amount,Ecuador
330,Caoni (Tulicorp),Los Rios,245,2008,0.77,Ecuador,2.75,Ecuador,54,rare,Average Amount,Ecuador
331,Caoni (Tulicorp),Manabi,266,2008,0.55,Ecuador,3.0,Ecuador,54,rare,Light Amount,Ecuador
332,Caoni (Tulicorp),Los Rios,269,2008,0.55,Ecuador,3.25,Ecuador,54,rare,Light Amount,Ecuador
333,Caoni (Tulicorp),Esmeraldas,269,2008,0.55,Ecuador,3.5,Ecuador,54,rare,Light Amount,Ecuador
334,Captain Pembleton,"Saidor Estate, Madang P.",1263,2014,0.7,New Zealand,3.5,Papua New Guinea,17,extra rare,Average Amount,New Zealand
335,Captain Pembleton,Kulili Estate,1263,2014,0.7,New Zealand,3.75,Papua New Guinea,17,extra rare,Average Amount,New Zealand
336,Caribeans,"Antigua, Special Reserve",1582,2015,0.72,Costa Rica,3.5,Guatemala,9,extra rare,Average Amount,Costa Rica
337,Caribeans,"Talamanca, Raul-Kekoldo community",1586,2015,0.72,Costa Rica,3.25,Costa Rica,9,extra rare,Average Amount,Costa Rica
338,Caribeans,Anselmo Paraiso Estate,1586,2015,0.72,Costa Rica,3.5,Costa Rica,9,extra rare,Average Amount,Costa Rica
339,Caribeans,Costa Rica,841,2012,0.72,Costa Rica,3.0,Costa Rica,9,extra rare,Average Amount,Costa Rica
340,Caribeans,Costa Rica,845,2012,0.8,Costa Rica,2.75,Costa Rica,9,extra rare,High Amount,Costa Rica
341,Carlotta Chocolat,Arauca,1884,2016,0.65,Colombia,3.0,Colombia,23,extra rare,Average Amount,Colombia
342,Carlotta Chocolat,Tumaco,1888,2016,0.65,Colombia,3.25,Colombia,23,extra rare,Average Amount,Colombia
343,Carlotta Chocolat,Cordoba,1888,2016,0.65,Colombia,3.25,Colombia,23,extra rare,Average Amount,Colombia
344,Carlotta Chocolat,Huila,1888,2016,0.65,Colombia,3.5,Colombia,23,extra rare,Average Amount,Colombia
345,Carlotta Chocolat,Cesar,1888,2016,0.65,Colombia,3.5,Colombia,23,extra rare,Average Amount,Colombia
346,Castronovo,"Maya Mtn, Batch 454, Heirloom",1724,2016,0.72,U.S.A.,4.0,Belize,738,most common,Average Amount,United States of America
347,Castronovo,"the lost city, gracias a dias, batch 362",1570,2015,0.72,U.S.A.,3.5,Honduras,738,most common,Average Amount,United States of America
348,Castronovo,"Duarte, Batch 360",1570,2015,0.7,U.S.A.,3.75,Domincan Republic,738,most common,Average Amount,United States of America
349,Castronovo,"Piaroa, Amazonas, Batch 350",1574,2015,0.72,U.S.A.,3.5,Venezuela,738,most common,Average Amount,United States of America
350,Castronovo,Sierra Nevada,1347,2014,0.72,U.S.A.,3.5,Colombia,738,most common,Average Amount,United States of America
351,Castronovo,Arauca,1371,2014,0.76,U.S.A.,3.5,Colombia,738,most common,Average Amount,United States of America
352,Castronovo,Elvesia P.,1407,2014,0.7,U.S.A.,2.75,Dominican Republic,738,most common,Average Amount,United States of America
353,Castronovo,Bolivia,1101,2013,0.7,U.S.A.,3.0,Bolivia,738,most common,Average Amount,United States of America
354,Castronovo,Conacado,1101,2013,0.73,U.S.A.,3.5,Dominican Republic,738,most common,Average Amount,United States of America
355,Castronovo,San Martin,1105,2013,0.7,U.S.A.,2.5,Peru,738,most common,Average Amount,United States of America
356,Castronovo,"Guaniamo, Amazonas",1105,2013,0.7,U.S.A.,3.25,Venezuela,738,most common,Average Amount,United States of America
357,Castronovo,Nicaragua,1109,2013,0.72,U.S.A.,3.25,Nicaragua,738,most common,Average Amount,United States of America
358,Castronovo,Tumbes,1153,2013,0.7,U.S.A.,2.75,Peru,738,most common,Average Amount,United States of America
359,Castronovo,Guaniamo,1153,2013,0.72,U.S.A.,3.0,Venezuela,738,most common,Average Amount,United States of America
360,Cello,Ecuador,1247,2014,0.7,U.S.A.,2.5,Ecuador,738,most common,Average Amount,United States of America
361,Cello,Peru,1247,2014,0.7,U.S.A.,2.75,Peru,738,most common,Average Amount,United States of America
362,Cello,Venezuela,1251,2014,0.7,U.S.A.,2.75,Venezuela,738,most common,Average Amount,United States of America
363,Cello,Bolivia,1251,2014,0.7,U.S.A.,3.0,Bolivia,738,most common,Average Amount,United States of America
364,Cemoi,Equateur,404,2009,0.72,France,2.75,Ecuador,144,somewhat common,Average Amount,France
365,Chaleur B,Uganda,1426,2014,0.7,Canada,2.75,Uganda,117,somewhat rare,Average Amount,Canada
366,Charm School,Maya Mtn,1900,2016,0.7,U.S.A.,3.25,Belize,738,most common,Average Amount,United States of America
367,Chchukululu (Tulicorp),Arriba,486,2010,0.55,Ecuador,2.75,Ecuador,54,rare,Light Amount,Ecuador
368,Chchukululu (Tulicorp),Los Rios,252,2008,0.75,Ecuador,3.0,Ecuador,54,rare,Average Amount,Ecuador
369,Chequessett,la Amistad,1235,2014,0.7,U.S.A.,3.5,Costa Rica,738,most common,Average Amount,United States of America
370,Chocablog,Ecuador,1454,2015,0.7,U.K.,3.25,Ecuador,95,somewhat rare,Average Amount,United Kingdom
371,Choco Del Sol,Maya Mountain w/ nibs,1407,2014,0.75,Germany,3.0,Belize,35,rare,Average Amount,Germany
372,Choco Del Sol,Maya Mountain,1407,2014,0.82,Germany,3.25,Belize,35,rare,High Amount,Germany
373,Choco Dong,"Mekong Delta, early 2014 Harvest",1696,2015,0.7,South Korea,2.75,Vietnam,5,extra rare,Average Amount,South Korea
374,Choco Dong,"Tawau, Oct. 2015 Harvest",1696,2015,0.7,South Korea,3.5,Malaysia,5,extra rare,Average Amount,South Korea
375,Chocolarder,Peru,1482,2015,0.65,U.K.,2.5,Peru,95,somewhat rare,Average Amount,United Kingdom
376,Chocolarder,Peru + nibs,1482,2015,0.65,U.K.,2.75,Peru,95,somewhat rare,Average Amount,United Kingdom
377,Chocolarder,Dominican Republic,1514,2015,0.8,U.K.,2.5,Dominican Republic,95,somewhat rare,High Amount,United Kingdom
378,Chocola'te,Madagascar,647,2011,0.7,U.S.A.,3.75,Madagascar,738,most common,Average Amount,United States of America
379,Chocola'te,Venezuela,647,2011,0.68,U.S.A.,3.75,Venezuela,738,most common,Average Amount,United States of America
380,Chocolate Alchemist-Philly,"Tumbes, ""Zarumilla""",1772,2016,0.9,U.S.A.,2.5,Peru,738,most common,High Amount,United States of America
381,Chocolate Con Amor,Wild Bolivian,1760,2016,0.7,U.S.A.,2.5,Bolivia,738,most common,Average Amount,United States of America
382,Chocolate Con Amor,Uganda,1760,2016,0.7,U.S.A.,2.75,Uganda,738,most common,Average Amount,United States of America
383,Chocolate Con Amor,Dominican Republic,1764,2016,0.6,U.S.A.,3.0,Dominican Republic,738,most common,Light Amount,United States of America
384,Chocolate Con Amor,Dominican Republic,1764,2016,0.75,U.S.A.,3.0,Dominican Republic,738,most common,Average Amount,United States of America
385,Chocolate Con Amor,Ocumare,1764,2016,0.8,U.S.A.,3.0,Venezuela,738,most common,High Amount,United States of America
386,Chocolate Con Amor,Ecuador,1764,2016,0.7,U.S.A.,3.25,Ecuador,738,most common,Average Amount,United States of America
387,Chocolate Con Amor,Nicaragua,1768,2016,0.8,U.S.A.,2.75,Nicaragua,738,most common,High Amount,United States of America
388,Chocolate Conspiracy,Peru,1259,2014,0.74,U.S.A.,2.75,Peru,738,most common,Average Amount,United States of America
389,Chocolate Makers,Tres Hombres,1530,2015,0.75,Amsterdam,3.25,Dominican Republic,4,extra rare,Average Amount,Amsterdam
390,Chocolate Makers,"Congo, Gorilla bar",1530,2015,0.68,Amsterdam,3.5,Congo,4,extra rare,Average Amount,Amsterdam
391,Chocolate Makers,"Peru, Awagum bar",1530,2015,0.8,Amsterdam,3.75,Peru,4,extra rare,High Amount,Amsterdam
392,"Chocolate Tree, The",Maranon,1582,2015,0.69,Scotland,3.75,Peru,10,extra rare,Average Amount,United Kingdom
393,"Chocolate Tree, The",Carenero Superior,1582,2015,0.8,Scotland,3.75,Venezuela,10,extra rare,High Amount,United Kingdom
394,"Chocolate Tree, The",Peru,1121,2013,0.7,Scotland,3.75,Peru,10,extra rare,Average Amount,United Kingdom
395,"Chocolate Tree, The",Ecuador,919,2012,0.82,Scotland,2.5,Ecuador,10,extra rare,High Amount,United Kingdom
396,"Chocolate Tree, The",Peru,919,2012,0.68,Scotland,2.75,Peru,10,extra rare,Average Amount,United Kingdom
397,"Chocolate Tree, The",Madagascar,919,2012,0.72,Scotland,3.25,Madagascar,10,extra rare,Average Amount,United Kingdom
398,Chocolats Privilege,Xoconusco,1219,2014,0.7,Canada,2.5,Mexico,117,somewhat rare,Average Amount,Canada
